Height_mm,Area_mm2,X_centroid_translated,Y_centroid_translated,FARO_major_angle_X,FARO_minor_angle_Y,Aligned_major_angle_X,Aligned_minor_angle_Y,Major_axis_change,Minor_axis_change,Major_axis_change_str,Minor_axis_change_str,Translation_X,Translation_Y
35,220343.5,0.0,0.0,77.97,77.97,0.0,0.0,77.97,77.97,77.97→0.00 (Δ=77.97),77.97→0.00 (Δ=77.97),65.85,253.98
36,219563.2,0.7207,0.5867,77.85,77.85,0.11,0.11,77.74,77.74,77.85→0.11 (Δ=77.74),77.85→0.11 (Δ=77.74),65.85,253.98
37,219650.76,0.9976,0.3826,77.81,77.81,0.16,0.16,77.64,77.64,77.81→0.16 (Δ=77.64),77.81→0.16 (Δ=77.64),65.85,253.98
38,219587.67,1.1097,0.2854,76.75,76.75,1.22,1.22,75.53,75.53,76.75→1.22 (Δ=75.53),76.75→1.22 (Δ=75.53),65.85,253.98
39,219555.16,0.5641,0.4634,77.67,77.67,0.3,0.3,77.36,77.36,77.67→0.30 (Δ=77.36),77.67→0.30 (Δ=77.36),65.85,253.98
40,219621.71,1.3312,-0.0519,79.51,79.51,1.55,1.55,77.97,77.97,79.51→1.55 (Δ=77.97),79.51→1.55 (Δ=77.97),65.85,253.98
41,219231.14,1.0498,0.1768,78.95,78.95,0.98,0.98,77.97,77.97,78.95→0.98 (Δ=77.97),78.95→0.98 (Δ=77.97),65.85,253.98
42,219036.78,1.1062,0.1199,80.57,80.57,2.6,2.6,77.97,77.97,80.57→2.60 (Δ=77.97),80.57→2.60 (Δ=77.97),65.85,253.98
43,218308.29,1.7279,0.0886,81.08,81.08,3.12,3.12,77.97,77.97,81.08→3.12 (Δ=77.97),81.08→3.12 (Δ=77.97),65.85,253.98
44,219006.41,1.1534,0.0568,81.24,81.24,3.27,3.27,77.97,77.97,81.24→3.27 (Δ=77.97),81.24→3.27 (Δ=77.97),65.85,253.98
45,219724.17,0.5454,0.6753,79.46,79.46,1.5,1.5,77.97,77.97,79.46→1.50 (Δ=77.97),79.46→1.50 (Δ=77.97),65.85,253.98
46,219760.8,0.5315,0.5522,81.28,81.28,3.31,3.31,77.97,77.97,81.28→3.31 (Δ=77.97),81.28→3.31 (Δ=77.97),65.85,253.98
47,219403.24,-0.4277,0.6712,77.56,77.56,0.41,0.41,77.16,77.16,77.56→0.41 (Δ=77.16),77.56→0.41 (Δ=77.16),65.85,253.98
48,219961.98,-1.1827,0.6274,75.64,75.64,2.33,2.33,73.32,73.32,75.64→2.33 (Δ=73.32),75.64→2.33 (Δ=73.32),65.85,253.98
49,220082.36,-0.5483,1.0388,78.8,78.8,0.83,0.83,77.97,77.97,78.80→0.83 (Δ=77.97),78.80→0.83 (Δ=77.97),65.85,253.98
50,220815.61,-1.9915,0.8469,76.98,76.98,0.99,0.99,75.98,75.98,76.98→0.99 (Δ=75.98),76.98→0.99 (Δ=75.98),65.85,253.98
51,221068.19,-2.1357,0.7681,76.56,76.56,1.41,1.41,75.15,75.15,76.56→1.41 (Δ=75.15),76.56→1.41 (Δ=75.15),65.85,253.98
52,221148.2,-1.837,0.3034,77.26,77.26,0.71,0.71,76.55,76.55,77.26→0.71 (Δ=76.55),77.26→0.71 (Δ=76.55),65.85,253.98
53,221812.13,-2.6448,0.7212,75.98,75.98,1.99,1.99,73.99,73.99,75.98→1.99 (Δ=73.99),75.98→1.99 (Δ=73.99),65.85,253.98
54,221860.15,-2.733,1.152,78.74,78.74,0.77,0.77,77.97,77.97,78.74→0.77 (Δ=77.97),78.74→0.77 (Δ=77.97),65.85,253.98
55,222046.51,-2.6994,0.5517,78.5,78.5,0.53,0.53,77.97,77.97,78.50→0.53 (Δ=77.97),78.50→0.53 (Δ=77.97),65.85,253.98
56,221008.85,-2.0898,0.7221,77.59,77.59,0.38,0.38,77.21,77.21,77.59→0.38 (Δ=77.21),77.59→0.38 (Δ=77.21),65.85,253.98
57,220994.73,-1.8101,0.4548,78.3,78.3,0.33,0.33,77.97,77.97,78.30→0.33 (Δ=77.97),78.30→0.33 (Δ=77.97),65.85,253.98
58,220504.94,-2.0197,0.46,78.65,78.65,0.68,0.68,77.97,77.97,78.65→0.68 (Δ=77.97),78.65→0.68 (Δ=77.97),65.85,253.98
