Height_mm,Area_mm2,X_centroid_translated,Y_centroid_translated,FARO_major_angle_X,FARO_minor_angle_Y,Aligned_major_angle_X,Aligned_minor_angle_Y,Major_axis_change,Minor_axis_change,Major_axis_change_str,Minor_axis_change_str,Translation_X,Translation_Y,eccentricity_mm,angle_from_bottom_deg
35,221168.5,0.0,0.0,79.08,79.08,0.0,0.0,79.08,79.08,79.08→0.00 (Δ=79.08),79.08→0.00 (Δ=79.08),70.79,252.31,0.0,0.0
36,222164.06,-0.2739,0.6182,76.25,76.25,2.83,2.83,73.42,73.42,76.25→2.83 (Δ=73.42),76.25→2.83 (Δ=73.42),70.79,252.31,0.2739,15.317640612965183
37,220152.58,1.4691,0.1084,80.15,80.15,1.06,1.06,79.08,79.08,80.15→1.06 (Δ=79.08),80.15→1.06 (Δ=79.08),70.79,252.31,1.4691,36.29914300143617
38,220810.22,0.4359,0.3658,75.24,75.24,3.85,3.85,71.39,71.39,75.24→3.85 (Δ=71.39),75.24→3.85 (Δ=71.39),70.79,252.31,0.4359,8.267221293769241
39,221069.83,0.8462,0.2485,77.69,77.69,1.39,1.39,76.29,76.29,77.69→1.39 (Δ=76.29),77.69→1.39 (Δ=76.29),70.79,252.31,0.8462,11.944809975754064
40,222009.62,-0.0066,0.6183,78.03,78.03,1.05,1.05,76.98,76.98,78.03→1.05 (Δ=76.98),78.03→1.05 (Δ=76.98),70.79,252.31,0.0066,0.07563038503116144
41,219987.07,0.9825,0.1622,78.81,78.81,0.27,0.27,78.54,78.54,78.81→0.27 (Δ=78.54),78.81→0.27 (Δ=78.54),70.79,252.31,0.9825,9.299649574106512
42,219496.66,-0.0751,0.5294,79.27,79.27,0.19,0.19,79.08,79.08,79.27→0.19 (Δ=79.08),79.27→0.19 (Δ=79.08),70.79,252.31,0.0751,0.6146782801689676
43,220183.01,1.1023,0.243,77.39,77.39,1.7,1.7,75.69,75.69,77.39→1.70 (Δ=75.69),77.39→1.70 (Δ=75.69),70.79,252.31,1.1023,7.845242763923156
44,220938.89,0.7176,0.1072,77.89,77.89,1.19,1.19,76.71,76.71,77.89→1.19 (Δ=76.71),77.89→1.19 (Δ=76.71),70.79,252.31,0.7176,4.558739226849784
45,220912.33,0.3001,0.1391,78.1,78.1,0.98,0.98,77.13,77.13,78.10→0.98 (Δ=77.13),78.10→0.98 (Δ=77.13),70.79,252.31,0.3001,1.7189304440806537
46,219769.6,-0.5559,0.6324,77.55,77.55,1.54,1.54,76.01,76.01,77.55→1.54 (Δ=76.01),77.55→1.54 (Δ=76.01),70.79,252.31,0.5559,2.893059138963179
